Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
0;0;500583000;FLEXITY BRÜSSEL 5-2,30-SG-2;1;ST;86;SP;1;PD;E;FERT;;;;;;
1;1;500589468;Farbe 2011;1;ST;86;SP;1;PD;E;HALB;1;15;INV;W-BRU001;;
2;1;SAND421CM1;Sandstrahlen C421 CM1;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500595195;Rohbau CM1 7 ZR 2300 Zukauf;1;ST;86;SP;1;PD;F;ROH;;88;SA01;W-BRU001M;W05;
2;2;581686CM1;Kaltfügeteile CM1 7 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500452716;Blindnietm.M6 34398060624:Böllhoff;4;ST;86;SP;1;ND;F;ROH;;88;VO90;W-BRU001M;W09;X
3;2;500525130;Basiselement M10/M5 Flachkopf;4;ST;86;SP;1;PD;F;ROH;;88;VO90;76412;W02;
2;3;581654CM1;Lackierung CM1 Brüssel 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500325708;Klebstoff Terostat MS 935 grau 290ml;2,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;70887;W09;
2;4;592654CM1;Anstrichstoffe Cab Flexity Brüssel2;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001M;;
3;1;500592662;WefaPox 2K W Monocoat RAL 9005;76,500;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;2;500592663;WefaPox 2K W Monocoat RAL 7011;8,500;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;3;500592664;Härter 58B wefa;50,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;4;500591834;Wefapur 2K W Filler beige;9,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;5;500591835;Härter 30L wefa;1,500;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;6;500592040;Wefaprotect 2K Basecoat RAL 9006;4,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;7;500592041;Wefaprotect 2K Basecoat RAL 1035;4,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;8;500592039;Wefaprotect 2K Basecoat RAL 9005;4,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;9;500591990;Härter 27 wefa;1,500;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;10;500591997;Wefaprotect 2K Clearcoat;6,750;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;11;500591821;Härter 28L wefa;5,220;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;12;500112090;Korrosionsschutz Tectyl 5750 W;20,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;13;500260303;Tectyl 558 AMC;2,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;14;500455000;Tectyl 120;2,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;15;700011785;Korrosionsschutz - Tectyl 846; 0,500;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;16;500591818;Wefaprotect 2K W Topcoat SM RAL 7022;2,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;17;500591975;Wefapox 2K W Primer;2,000;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
3;18;500591976;Härter EP W 75 wefa; 0,840;KG;86;SP;1;PD;F;ROH;1;88;PA01;W-BRU001;W09;
1;2;500589469;Farbe 2021;1;ST;86;SP;1;PD;E;HALB;1;15;INV;W-BRU001;;
2;1;584976CM1;Anbau GFK-Aussenverkleidung CM1 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500585047;GFK-Seitenwand links lackiert CM1;1;ST;86;SP;200;PD;E;HALB;1;15;PA01;W-BRU001;;
4;1;500591384;GFK-Seitenwand geklebt li CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;PA01;W-BRU001;W06;
3;2;500585049;GFK-Seitenwand rechts lackiert CM1;1;ST;86;SP;200;PD;E;HALB;1;15;PA01;W-BRU001;;
4;1;500591512;Seitenwand kpl re CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;PA01;W-BRU001;W06;
3;3;500585043;GFK-Haube CM1 lackiert;1;ST;86;SP;200;PD;E;HALB;1;15;PA01;W-BRU001;;
4;1;500594950;GFK-Haube CM1 kpl;1;ST;86;SP;1;PD;F;ROH;;88;PA01;W-BRU001;W06;
3;4;500592532;Bugrohrabdeckung li;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;5;500592533;Bugrohrabdeckung re;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;3,900;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l; 0,078;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,240;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;2,600;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100; 0,100;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,160;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;9,100;KG;86;SP;1;PD;F;ROH;1;48;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,560;KG;86;SP;1;PD;F;ROH;1;88;PK40;74287;W09;
2;4;584950CM1;Anbau Bodenplatten CM1 7 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500594121;Bodenplatte Fahrerstand CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;2;500594124;Bodenplatte Fahrgastraum CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;3;500594126;Bodenplatte Tuersaeule li CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;4;500594127;Bodenplatte Tuersaeule re CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;5;500597884;Abdeckung Kabelkanal CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W05;
3;6;500237719;Elastikp. 3M Bumpon SJ5744 4,0mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W02;X
3;7;500596512;Elastikp. 3M Bumpon SJ61A1 5,1mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;8;500596511;Elastikp. 3M Bumpon SJ6148 6,2mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;9;500596510;Elastikp. 3M Bumpon SJ61A4 7,9mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;1,250;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100; 0,065;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;11,700;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
