16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;;;;;;;;;;;;;;;;;;
;0;0;;500540500S;FLEXITY INNSBRUCK 5-2.40-MG-2 ab Fzg7;1;ST;;;86;;;SP;;1;PD;E;FERT
;1;1;;500542389S;Rohbau 1041 ab Fzg7;1;ST;;1;86;15;;SP;W-FIN001M;1;PD;E;HALB
;2;1;;540634CM1;Rohbau CM1;1;ST;;1;86;15;INV;SP;74795;300;PD;E;HALB
;3;1;B30;500540635;Untergestell CM1 7;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;4;1;B30;500540636;Kupplungsbock CM1 7 kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549864;Quertraeger Ecksaeule;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;B30;500540639;Pufferträger re kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;6;1;W05;500549876;Puffertraeger rechts;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;2;W05;500549873;Puffertraegerplatte;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;3;W05;500549875;Puffertraeger quer re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;4;W09;500206951;Schweissm.M8 DIN929-A4;10;ST;X;;86;88;S4BS;SP;72884;1;ND;F;ROH
;6;5;W09;500437633;Schweissm.M16 DIN929-A4;4;ST;X;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;6;W05;500562419;Platte Puffertraeger re.;1;ST;;;86;88;S4BS;SP;72431;1;PD;F;ROH
;6;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;14;ST;X;1;86;88;S4BS;SP;72884;1;PD;F;KBEI
;6;442;W90;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,095;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;480;W90;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,137;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;545;W90;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,220;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1218;W90;500434910;Kehlnaht a3 EN15085-3 CPC2 G2293NL;    0,733;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1264;W90;500438099;HV-Naht 3 EN15085-3 CPC2 G2293NL;    0,435;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
