Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ÄndNr;ArbPlatz;EKG;SchGut
0;0;500540500S;FLEXITY INNSBRUCK 5-2.40-MG-2 ab Fzg7;1;ST;86;SP;1;PD;E;FERT;;;;;;
1;1;500542389S;Rohbau 1041 ab Fzg7;1;ST;86;SP;1;PD;E;HALB;1;15;W-FIN001M;;;
2;1;540634CM1;Rohbau CM1;1;ST;86;SP;300;PD;E;HALB;1;15;74795;INV;;
3;1;500540635;Untergestell CM1 7;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
4;1;500540636;Kupplungsbock CM1 7 kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549864;Quertraeger Ecksaeule;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500540639;Pufferträger re kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
6;1;500549876;Puffertraeger rechts;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
6;2;500549873;Puffertraegerplatte;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
6;3;500549875;Puffertraeger quer re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
6;4;500206951;Schweissm.M8 DIN929-A4;10;ST;86;SP;1;ND;F;ROH;;88;72884;S4BS;W09;X
6;5;500437633;Schweissm.M16 DIN929-A4;4;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W09;X
6;6;500562419;Platte Puffertraeger re.;1;ST;86;SP;1;PD;F;ROH;;88;72431;S4BS;W05;
6;381;500428238;Punktnaht für Schweißmutter EN15085-3;14;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
