Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 0;0000;500550869;City-Tram M33-3-Teiler/Ein-Richter Typ-A;      1;ST;86;SP;001;PD;E;FERT;;;;;;
 1;0003;500563101;Farbe 203;      1;ST;86;SP;001;PD;E;HALB;1;15;INV;B-GOT001;;
 2;0001;558344CM1;Montage Isolierung Kopf-Front;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
 3;0001;500585186;KIT - Montage Isolierung Kopf-Front;      1;ST;86;SP;001;PD;F;ROH;;88;PK01;74923;W06;
 3;0130;500598240;Schutzrohr;      1;ST;86;SP;001;PD;F;ROH;;88;PK01;76017;W05;
 3;0001;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;  0,000;KG;86;SP;001;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
 3;0002;500546975;Klebstoff SikaBooster-20 S Hobb.23l;  0,000;KG;86;SP;001;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
 3;0004;500539443;Haftvermittler Sika Primer-207;  0,000;KG;86;SP;001;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
 3;0135;500598242;Deckel;      1;ST;86;SP;001;PD;F;ROH;;88;PK01;76017;W05;
 3;0150;500520509;Weichaluminium- Klebeband 50mm br.1436 F;136,000;M;86;SP;001;PD;F;ROH;1;88;PK01;75417;W02;
 3;0151;500556242;Wasserschlauch DN 15x19 Elastomer;  1,640;M;86;SP;001;PD;F;ROH;1;88;PK01;76017;W02;
 3;0160;500590875;Montage Gewindeplatten;      1;ST;86;SP;200;PD;E;HALB;1;15;PK01;75436;;
 4;0200;500580448;Gewindeplatte;      2;ST;86;SP;001;PD;F;ROH;;88;VO90;75436;W05;
 4;0201;500580449;Gewindeplatte kpl;     13;ST;86;SP;001;PD;F;ROH;;88;VO90;75436;W05;
 4;0202;500267216;Sechskantm.M6 ISO7040-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;VO90;75436;W09;X
 4;0203;500243160;Scheibe 6 ISO7093-1 200HV-A2;      4;ST;86;SP;001;ND;F;ROH;;88;VO90;75436;W09;X
 4;0204;500289534;Scheibe 5 ISO7093-1 200HV-A2;     26;ST;86;SP;001;ND;F;ROH;;88;VO90;75436;W09;X
 4;0205;500024648;Sechskantm.M5 ISO7040-A2-70;     26;ST;86;SP;001;ND;F;ROH;;88;VO90;75436;W09;X
 4;0206;500504045;Halbrundkopfschr.M5x16 ISO7380-2-A2-70;     26;ST;86;SP;001;ND;F;ROH;;88;VO90;75436;W09;X
