Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 0;0000;500589000;STRABA MANCHESTER MTC11 Batch 7;      1;ST;86;SP;001;PD;E;FERT;;;;;;
 1;0001;500591411;Rohbau 101 Vorbau A ab Wagen 121;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-MTC001;;
 2;0001;LV142485SE;Kupplungsbock kpl.;      1;ST;86;SP;200;PD;E;HALB;1;15;INV;W-MTC001M;;
 3;0001;LV1422446;Flanschplatte Bl 12Ax360x535 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1420955;Obergurt Bl 8Ax465x734 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0003;LV1422447;Untergurt Bl 8Ax472,2x734 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0004;LV1422448;Innenblech Bl 8x448,7x928,9 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0005;LV1422449;Seitenblech li.Bl 8Ax511,8x535 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0006;LV1422450;Seitenblech re. Bl 8Ax511,8x535 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0007;LV1420960;Fuehrungsrohr Ro 88,9x4x252,9 EN10259;      4;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0008;LV1422451;Rippe links Bl 8Ax105x216,4 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0009;LV1422452;Rippe rechts Bl 8Ax105x216,4 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;1002;LV1420962;Flanschpl. mitte Bl 10Ax376x930 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;60333;W05;
 3;2007;LV1420934;Rippe breit Bl 5x71x235 EN10259;      4;ST;86;SP;100;PD;F;HALB;;88;S3BS;70343;W05;
 3;2008;LV1420935;Rippe schmal Bl 4x46x180 EN10259;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;70343;W05;
 3;2009;LV1420936;Steg - oben Bl 4x76x590 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;70343;W05;
 3;2010;LV1422453;Steg unten Bl 8Ax46x590 EN10029;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;70343;W05;
 3;2011;LV1421548;Buchse f. Flanschpl. Rd 40x65 EN10060;      4;ST;86;SP;100;PD;F;HALB;;88;S3BS;70343;W05;
 2;0002;500468396;VB-Gerippe A/B Kleinbaugruppen;      1;ST;86;SP;200;PD;E;HALB;1;15;INV;W-MTC001M;;
 3;0001;LV1421380;Kantprofil Bl 3x245x276,7 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421381;Kantprofil Bl 3x245x407,8 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0001;LV1421410;U-Profil Bl 3x201,3x235 EN10259;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0001;LV1421411;Bundkragen Bl 3x111x176 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;500318460;Setzm. M6 A2;      4;ST;86;SP;001;ND;F;ROH;;88;S3BS;B-982001;W09;X
 3;0001;LV1421417;Stirnblech Riegel li Bl 3x46x170 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421418;Rippe links Bl 3x46x170 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0003;LV1421419;Riegel  ReRo 80x50x3x334,9 BT/CE-WN22-56;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0004;LV1421420;Riegel Bl 2x309,5x661 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0001;LV1421513;Riegel Bl 3x127,9x231,6 EN10259;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421514;Winkel Bl 3x107x219,9 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0003;LV1421515;Halteblech Bl 3x107x172 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0001;LV1421475;Quertraeger Bl 3x226,6x2008 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421476;Rippe Bl 3x69x92 EN10259;      3;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0005;LV1421244;Auflageblech Bl 3x30x55 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0006;LV1421245;Auflageblech Bl 3x30x55 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0007;LV1421247;Steckbolzen Rd 12h9x55 EN10278;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0008;500318460;Setzm. M6 A2;      2;ST;86;SP;001;ND;F;ROH;;88;S3BS;45905;W09;X
 3;0001;LV1421468;Quertrgr.ReRo 50x30x3x1845 BT/CE-WN22-56;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421479;Quertrgr.ReRo 50x30x3x1081 BT/CE-WN22-56;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0003;LV1421480;Strebe ReRo 50x30x3x353,6 BT/CE-WN22-56;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0004;LV1421481;Strebe ReRo 50x30x3x341,1 BT/CE-WN22-56;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0005;LV1421483;Platte Bl 8Ax50x80 EN10029;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0009;LV1422500;Lasche  1 Bl 2x40x60 ISO9445;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;45904;W05;
 3;0010;LV1422501;Lasche  2 Bl 2x30x40 ISO9445;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;45904;W05;
 3;0011;500318460;Setzm. M6 A2;      2;ST;86;SP;001;ND;F;ROH;;88;S3BS;45904;W09;X
 3;0012;500316182;Setzm.M8-A2;      2;ST;86;SP;001;ND;F;ROH;;88;S3BS;45904;W09;X
 3;0001;LV1420971;Bugverkl.oben Bl 1,5x529,4x1846 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0002;LV1421467;Blech Zugspit. Bl 1,5x210,3x324 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0003;LV1421500;Auflage Zugspit. 1,5x153,9x288,1 EN10259;      1;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
 3;0004;LV1420968;Halter Zugspitzensig. Bl 2x25x54 EN10259;      2;ST;86;SP;100;PD;F;HALB;;88;S3BS;B-982001;W05;
