Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;R;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
 0;0000;500578283;Flexity Wien Fahrzeug 3-18;        1;ST;1;86;15;SP;001;PD;E;HALB;;;;
 1;0002;500534357;Rohbau 1041;        1;ST;1;86;15;SP;001;PD;E;HALB;INV;W-VIE001;;
 2;0001;532502CM1;Rohbau CM1 ER 1T;        1;ST;1;86;15;SP;300;PD;E;HALB;INV;W-VIE001M;;
 3;0001;500532671;Untergestell CM1;        1;ST;1;86;15;SP;200;PD;E;HALB;QA11;W-VIE001M;B30;
 4;0001;500538842;Pufferträger mit Brustgurt;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;71404;B30;
 5;0001;500538839;Brustgurt kpl.CM1;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 6;0001;500538858;Brustgurt Mitte unten;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0002;500538855;Brustgurt Mittelteil;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0003;500538845;Notentriegelung kpl.;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 7;0001;500538854;Halter Notentriegelung;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 7;0002;500336097;Schweissm.M5 DIN929-A4;        4;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W09;
 7;0381;500428238;Punktnaht für Schweißmutter EN15085-3;        4;ST;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 7;0441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,206;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 6;0004;500538859;Querspange Puffertraeger;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0005;500538856;Brustgurt vorn rechts;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
