Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 0;0000;500567000;FLEXITY ZÜRICH 7-2,40-MG-1 m.FGZ;      1;ST;86;SP;001;PD;E;FERT;;;;;;
 1;0001;500591629;Farbe 2011;      1;ST;86;SP;001;PD;E;HALB;1;15;INV;W-FZU001;;
 2;0001;SANDC146CM1;Sandstrahlen CM1;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500575444;Rohbau CM1 ER 2400 Zukauf;      1;ST;86;SP;001;PD;F;ROH;;15;SA91;W-FZU001M;W05;
 2;0002;568047CM1;Lackierung CM1 7 2400;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500325708;Klebstoff Terostat MS 935 grau 290ml;  2,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;70887;W09;
 2;0003;584161CM1;Anstrichstoffe Cab Zürich;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500580539;Wefapox 2K-EP-W Metallgrund RAL1015 Hobb; 36,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0002;500312065;Härter 58 EP W G f.2K- Metallgrund  Wefa; 18,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0003;500195500;Wefapox 2K W DS Lack RAL 9005 Wefa; 20,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0004;500140795;Wefapox 2K W DS Lack RAL 7011 Hobb.;  8,500;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0005;500140799;Härter 51 f.2K W DS Lack Wefa Hobb.; 20,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0006;500140138;Wefapur 2K-W Füller 5277W1850 Beige Hob.; 24,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0007;500570654;Härter 32;  4,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0008;500602908;WefaProtect 2K W Basislack Züriweiss; 10,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 3;0009;500602909;WefaProtect 2K W Basislack Züriblau;  6,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 3;0010;500551317;Wefaprotect 2K-Basislack RAL 9005;  3,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 3;0011;500580621;Härter 25L;  7,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0012;500584124;Wefaprotect 2K W Effektlack NCS S 6500-N;  2,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0013;500394028;Härter 25 Wefa 0725L0000 Hobbock;  0,700;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0014;500584109;Wefapox 12 Grund RAL 9005;  2,500;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0015;500581515;Härter 62 WEFA 0362V0000;  0,500;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0016;500581516;Verdünnung 10-118 (wefa);  1,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0017;500112090;Korrosionsschutz Tectyl 5750 W; 15,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 3;0018;500260303;Tectyl 558 AMC;  2,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75773;W09;
 3;0019;500455000;Tectyl 120;  3,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;W-FZU001;W09;
 3;0020;700011785;Korrosionsschutz - Tectyl 846;  1,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;75134;W09;
 3;0021;500591990;Härter 27 wefa;  6,000;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 3;0022;500541949;Wefaprotect 2K W Klarlack Plus; 16,660;KG;86;SP;001;PD;F;ROH;1;88;PA01;76692;W09;
 2;0004;577102CM1;Kaltfügeteile CM1 2400;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500462807;Blindnietm.M6 34398060629:Böllhoff;     26;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0002;500473517;Blindnietm.M6 34398060630:Böllhoff;     14;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0003;500453750;Blindnietm.M6 34398060628:Böllhoff;      9;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0004;500462808;Blindnietm.M8 34398080625:Böllhoff;      4;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0005;500452740;Blindnietm.M8 34398080629:Böllhoff;      8;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0006;500452717;Blindnietm.M10 34398100690:Böllhoff;     10;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
 3;0007;500452716;Blindnietm.M6 34398060624:Böllhoff;      4;ST;86;SP;001;ND;F;ROH;;88;VO90;W-FZU001;W09;X
